feature00,feature01,feature02,feature03,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,label
0.0966956,0.639583,0.344444,0.401181,0.583469,0.632336,0.259358,0.0451254,0.561075,156.032,139.488,149.766,70.9169,62.0163,62.7229,-0.0423098,0.238614,0.0621513,77.5854,4.73649,-2.08737,14.7643,5.58962,9.14221,-0.289935,0.987531,-0.933621,67.9878,0.297917,1.35295,24.8523,0.287235,15.2871,0.515773,3.64528,-3.56704,48.0743,0.341667,96.8079,14.978,-0.440732,42.3569,6.61412,85.1414,30.0193,0.442167,0.218686,0.0635479,144.325,-0.182841,48.6785,3.04652,0.0617535,0.906621,0
0.102297,0.416667,0.508333,0.30442,0.745592,0.327652,0.439056,0.0346778,0.517022,174.549,118.743,115.886,54.4635,43.0212,42.1083,-1.18473,0.030913,-0.110213,75.4194,12.0732,5.96789,11.486,10.6956,4.88582,-1.31103,-0.185496,0.192862,78.6305,0.520833,-1.06927,31.9238,0.384192,11.6867,0.721327,0.117713,0.490781,126.547,0.208333,107.578,56.5322,0.286677,47.6113,18.4276,48.0386,34.5502,0.473362,0.393786,0.0506912,166.691,-0.348677,20.1599,9.3117,0.727884,0.539672,0
0.210706,0.611111,0.45625,0.331201,0.801112,0.524788,0.417771,0.0195001,0.244292,110.921,95.1689,89.7656,75.7839,64.1387,59.2678,0.282633,0.348462,0.356088,62.3635,3.24297,2.85065,23.2031,3.63519,7.47045,-0.568927,0.208007,-1.25313,78.9804,0.84375,-0.000908262,36.8919,0.997302,17.311,0.0574435,-0.185155,-21.3202,169.951,0.529167,139.977,47.2991,1.5473,64.8879,10.5842,101.711,14.7502,0.615863,0.376134,0.0816879,173.385,1.31872,7.34388,13.8574,0.0110243,0.632887,0
0.183854,0.4375,0.522917,0.182294,0.252342,0.370908,0.50515,0.025602,0.196357,102.983,100.188,79.7462,17.0496,18.2535,20.972,2.13064,2.08664,2.33016,68.4433,-2.22139,9.12316,4.69122,1.5219,3.19319,1.58338,-0.292244,-0.524063,75.2897,0.233333,3.90257,15.5803,0.546795,19.0946,0.0640485,-1.92592,-3.25865,116.269,0.952778,94.3636,41.6173,-0.0719058,17.0388,12.5669,133.471,72.8462,0.972443,0.337194,0.142456,169.215,1.69976,46.7899,12.2759,0.023588,0.369488,1
0.0154687,0.075,0.286111,0.787715,0.741682,0.0594898,0.268365,0.0864198,0.279126,105.875,89.3229,77.5155,46.3805,41.2314,40.608,0.711198,0.824662,1.17952,64.764,2.97588,7.16847,12.1252,2.41115,6.55334,0.377643,-0.79631,2.56055,76.1195,0.677083,15.0948,55.6759,0.37953,22.5222,0.27087,-0.494206,0.114135,80.5319,0.16875,147.457,12.9645,-0.137804,28.874,1.86433,102.282,31.551,0.236748,0.162946,0.111199,123.864,1.07512,41.9036,12.4388,0.0161285,0.774371,0
0.171018,0.677083,0.65,0.647022,0.554932,0.589497,0.474933,0.0443286,0.611414,122.384,109.166,95.9144,61.128,58.3951,56.4815,0.0944729,0.335799,0.761921,68.7939,1.79291,6.51511,16.7289,3.86846,5.79287,-0.273948,0.453465,-0.122696,90.3669,1.0,7.93329,2.14336,0.139178,15.3941,0.497516,4.86914,-34.7058,25.2999,0.329167,52.7897,30.3377,0.411565,20.0146,12.9672,70.6497,11.0356,0.486996,0.523977,0.043068,82.5204,1.04009,14.5737,6.02594,0.0802539,0.928696,0
0.00283565,0.0583333,0.075,0.343712,0.409252,0.0487563,0.0644168,0.144898,0.351852,99.6327,90.7776,71.4429,55.3858,54.4748,46.9072,0.178027,0.165251,0.285135,61.9277,0.806428,10.7445,19.7678,5.62151,12.3219,-0.744897,2.88148,0.761496,77.6436,0.104167,3.82803,70.5504,0.518907,6.31007,0.235829,-1.46283,1.50705,44.8426,0.122917,138.613,47.1445,0.139802,46.0885,4.7995,54.0914,11.0769,0.495696,0.479551,0.0327291,224.726,-0.635012,42.4847,5.63417,0.0669502,1.01243,0
0.0207878,0.0854167,0.384375,0.554969,0.685457,0.0686523,0.383966,0.125274,0.366845,58.575,54.3743,68.6117,63.4765,38.1723,33.1181,1.14703,1.57409,1.0363,50.5123,2.3074,-9.90001,15.3798,7.89806,11.3112,0.870446,1.30547,0.42537,88.9031,1.0,-1.35223,16.5912,0.487476,5.75247,0.9493,0.656067,-1.81295,107.105,0.28125,109.484,55.6337,-0.458429,14.3171,12.7632,43.2719,27.6945,0.604953,0.316774,0.0418561,73.9364,1.78764,54.404,8.52934,0.0297338,0.939501,0
0.297049,0.997917,0.402778,0.540945,0.166985,0.982129,0.32596,0.0241574,0.26096,222.904,219.795,221.601,7.79311,6.78589,7.13638,-0.673007,-1.86228,-1.4226,94.5152,0.646865,-0.240972,1.17944,0.369843,0.957556,-3.51371,4.86666,-0.357293,61.3968,0.446875,7.49667,25.1439,0.490031,14.3123,0.523241,-2.35784,-3.93145,101.392,0.15,145.72,42.233,0.813064,47.639,6.55449,251.72,22.9925,0.611583,0.274189,0.0402665,140.89,-1.67045,50.3762,8.61495,0.0436748,0.356357,1
0.02386,0.413889,0.129167,0.546316,0.949217,0.341267,0.115624,0.075188,0.553691,121.572,99.9772,96.8899,22.489,18.8616,20.4948,-1.25446,-1.638,-1.31896,69.6879,5.17295,3.39099,6.27653,3.0931,2.89508,-2.2505,-1.12575,2.675,87.6596,0.827083,-0.0174474,32.5283,0.65045,5.89702,0.246967,-2.08099,1.47368,216.649,0.338889,99.0635,27.4257,0.608704,74.5783,19.256,111.626,55.5788,0.448524,0.434465,0.0413714,77.5945,0.438152,31.7846,7.60941,0.00728588,0.994919,2
0.0330208,0.11875,0.440625,0.516122,0.608201,0.109714,0.366836,0.0782729,0.368919,114.325,96.735,66.1094,70.8122,62.0206,35.3489,0.618219,0.862932,0.774202,64.5749,0.98117,13.0927,17.9884,5.3071,11.3843,0.0308295,0.00757702,0.63494,97.9257,0.772222,6.77413,26.2718,0.684238,11.5172,0.64084,-2.52202,0.739879,70.4196,0.95,161.103,23.4579,1.26466,20.6545,11.7277,153.555,17.7605,0.555909,0.465167,0.0716057,40.2624,1.00952,51.0068,2.6352,0.238385,0.213559,0
0.230203,1.0,0.355556,0.37487,0.863597,0.878592,0.325815,0.0278036,0.352555,86.4758,111.337,39.3772,16.6654,16.2646,15.0185,-0.115979,-0.194907,0.209803,68.895,-18.0823,33.0745,4.67489,2.55824,5.71572,-0.566114,-0.562885,0.933751,69.7527,1.0,1.1821,17.0847,0.31283,18.6253,0.506888,-0.50985,0.440225,250.118,0.197222,166.882,6.10901,0.594618,16.0982,7.4128,205.309,46.3515,0.528553,0.49546,0.0140872,253.164,0.0746446,37.5861,12.025,0.370162,0.131971,1
0.0402083,0.527083,0.15,0.209152,0.159229,0.505604,0.10884,0.0788716,0.491436,84.8959,113.066,131.485,17.1586,18.0812,19.1961,0.76342,0.497444,0.161745,70.9654,-4.80738,-8.8859,4.72049,0.854366,1.64998,0.29283,0.0305809,0.485817,63.8343,0.1125,-0.261084,9.66415,0.449362,3.09843,0.214173,4.6565,1.32303,28.7862,0.79375,159.68,19.544,-0.756726,53.5057,11.6285,111.393,12.1879,0.802773,0.349323,0.0191688,35.1637,0.710878,19.4552,20.883,0.0621991,1.03878,1
0.0927951,0.383333,0.264583,0.821295,0.501051,0.362882,0.25456,0.0299969,0.0850736,112.529,98.3781,54.1002,27.618,29.8561,20.0218,-0.07319,-0.129525,-0.255537,67.7179,-2.06596,22.9232,7.63298,11.8064,7.7172,-0.75327,1.1213,0.596901,70.0059,0.227083,4.04503,40.8197,0.158825,16.6729,0.412785,4.51805,1.73886,40.6073,0.238889,137.426,13.5561,0.677701,17.7454,15.2997,90.7618,46.3334,0.480606,0.421391,0.0384534,241.062,-0.417977,33.1509,12.1715,0.131244,1.01952,1
0.0163657,0.1875,0.202778,0.270735,0.934052,0.162248,0.177671,0.0951202,0.569559,71.9441,70.7097,60.0081,37.0221,36.8839,34.9939,0.585741,0.57963,0.690919,57.1046,-1.40778,6.23283,13.3397,2.92697,8.07883,0.000428816,3.85052,-0.793421,58.4726,1.0,-1.02348,10.6512,0.126113,11.0054,0.286786,9.14003,-0.857144,89.328,0.44375,91.9339,47.7313,-0.0625475,11.7297,18.8114,154.893,39.1305,0.569993,0.400726,0.0625993,77.7411,-0.735342,20.6264,14.6569,0.166568,0.965461,2
0.113686,0.791667,0.24375,0.600482,0.403659,0.730494,0.199409,0.0427081,0.410856,112.899,94.3087,89.1929,36.9787,33.4651,34.0883,-0.606531,-0.405421,-0.315252,66.8325,4.47132,4.296,11.4578,2.83843,4.95406,-1.15273,0.902631,0.92548,26.6658,0.841667,-0.445142,29.0211,0.365378,12.8485,0.271028,0.837765,0.385982,45.0878,0.54375,88.9003,17.2052,2.56865,12.682,0.977648,116.345,13.2415,0.758248,0.0685627,0.02743,117.983,1.98229,24.9672,3.05254,0.229763,0.234479,2
0.245463,0.80625,0.497222,0.726391,0.750545,0.607775,0.503829,0.030248,0.387698,151.623,164.796,160.851,42.5012,30.2354,19.8182,-0.70153,-0.676913,-0.0382195,83.1811,-3.24662,-0.288811,6.99759,2.74647,6.36087,-1.02702,-2.00965,-1.23738,43.2094,1.0,7.3986,76.361,0.673165,11.4038,0.404201,0.662829,1.11882,124.33,1.0,4.79041,26.6974,3.3251,20.4393,14.6413,136.545,59.982,0.205228,0.349106,0.0648703,108.065,1.4329,17.1024,16.795,0.630012,0.270795,1
0.316152,1.0,0.553125,0.530944,0.180008,1.08106,0.41328,0.031898,0.428425,154.9,150.85,140.852,83.7185,79.2262,74.4143,-0.401867,-0.415429,-0.428711,76.4982,-0.706659,3.56013,22.8522,1.81166,3.83347,-1.0127,-3.08356,1.26031,43.873,1.0,4.69343,7.47891,0.302352,9.51824,0.35216,0.0384158,-0.702539,113.318,0.288889,56.3817,23.9766,-0.232402,55.9064,13.7018,103.648,17.4314,0.0575033,0.378003,0.0698237,215.854,-2.71807,30.3491,17.5635,0.220729,0.371531,2
0.208503,0.722917,0.496875,0.618858,0.177886,0.593135,0.414876,0.0307563,0.419535,136.461,171.36,208.363,29.832,22.4348,13.9981,0.306391,-0.139413,-0.773149,84.4355,-3.01076,-12.0891,4.72831,1.09677,3.95881,-0.215362,1.37741,0.3385,61.8488,0.189583,0.76366,24.4927,0.263539,8.06837,0.150764,-2.10107,-0.471394,76.978,0.930556,114.359,1.50691,0.0600902,45.1897,4.67915,92.268,24.094,0.496175,0.350111,0.0576685,146.066,-0.260793,31.994,18.7871,0.473958,0.4515,1
0.662159,1.0,0.894444,0.525545,0.505563,0.976792,0.706442,0.0144729,0.259698,115.49,103.808,97.6338,57.5677,54.3845,50.5289,-0.148193,-0.0617708,0.0168458,67.2152,2.49591,3.17294,17.2693,1.43778,2.7241,-0.54181,0.863316,-1.42468,77.1191,0.530556,9.8841,40.7711,0.189177,13.4619,0.275633,-28.2666,0.0711121,85.5368,0.188889,136.825,65.886,0.102428,12.6295,17.5305,131.848,43.3963,0.710056,0.479509,0.0350629,110.313,1.77023,13.9696,15.8979,0.375486,0.607496,2
0.0866081,0.54375,0.45625,0.593167,0.645363,0.380743,0.368098,0.0581072,0.650895,85.5189,87.1795,89.2456,54.3168,50.5451,51.2044,1.20838,1.32567,1.43909,62.5478,-0.539205,-1.31363,13.7948,1.79245,2.81292,1.11674,0.449659,0.869885,50.6031,1.0,23.0589,53.4425,0.277087,12.4047,0.671291,-3.48967,1.24651,110.057,0.686111,134.337,90.874,0.0254857,61.151,18.7477,114.742,75.0584,0.49012,0.439022,0.0624179,117.745,2.15876,22.1809,2.72546,0.293802,0.303509,0
0.0503588,1.0,0.0708333,0.466772,0.975165,1.03757,0.0546966,0.0896346,0.289052,54.2117,54.5487,51.2232,21.8043,19.3145,16.7457,-0.519872,-0.536624,-0.538193,51.9873,-1.09793,1.51444,9.49644,1.42318,2.46957,-0.762857,-0.746508,-1.04512,90.1476,0.85,-10.2147,7.08216,0.385107,6.96333,0.163595,8.06789,1.2625,125.635,0.230556,250.908,26.0074,0.130576,22.468,10.5978,102.734,26.0116,0.576209,0.0455866,0.0272494,133.412,0.732149,27.9908,15.1426,0.305995,0.16173,2
0.00966435,0.185417,0.0861111,0.316099,0.749923,0.152424,0.0756156,0.11497,0.394708,28.388,34.9305,26.9934,27.1129,27.6,27.7042,2.51379,2.46059,3.11028,39.2105,-7.57752,6.32877,13.8883,5.36804,8.35034,0.590486,-0.523853,0.944404,76.2057,0.947917,0.0709819,44.6463,0.520834,3.5764,0.477858,11.4057,1.37777,71.4156,0.227778,10.8976,34.0497,-0.559501,20.5812,9.02656,138.093,13.4528,0.491795,0.595596,0.0602466,111.105,1.10797,14.8959,14.3222,0.0119444,0.370247,2
0.14908,0.472222,0.777083,0.357877,0.572121,0.348908,0.636694,0.0414192,0.593739,128.261,118.154,118.687,64.2426,67.0478,69.6285,0.226626,0.584258,0.703478,70.954,3.06497,1.00984,17.5541,4.46492,5.87089,-0.223367,0.794391,0.363364,87.0568,0.627083,16.2954,45.3427,0.79663,5.81914,0.186815,0.748525,-0.573764,49.4449,0.41875,70.4475,31.8157,-4.44124,36.5699,12.1304,101.718,8.46266,0.461402,0.232598,0.0460346,193.849,-2.98935,31.6556,18.5814,0.119499,0.222769,0
0.0380382,0.152083,0.397222,0.938149,0.82183,0.116419,0.376719,0.0529439,0.370342,122.087,121.189,122.378,56.3521,58.6611,58.6191,-0.0172361,0.0449194,-0.120081,71.6984,0.687814,0.0595216,16.5599,3.93069,5.8471,-0.685703,3.86301,1.50595,92.4599,1.0,-0.359624,8.14306,0.412989,5.26425,0.304148,-0.507145,1.1482,17.5435,0.129167,121.006,21.8245,-0.131452,13.5847,12.0931,116.153,52.1006,0.0726263,0.350938,0.0560803,176.084,0.0637999,5.31577,12.7482,0.222025,0.995328,0
0.0388346,0.141667,0.525,0.0511973,0.372401,0.112934,0.392965,0.063202,0.477854,79.2191,58.6964,49.4161,19.4179,20.0949,18.9296,2.64758,3.27626,4.04016,55.9613,5.92256,8.3196,6.35658,1.54893,2.00996,2.09895,-0.5675,-0.665733,88.5293,1.0,-2.43527,34.9624,0.0902091,7.90534,0.0870506,-6.10163,0.753744,192.084,0.554167,239.361,55.7286,-1.51768,55.921,2.12815,119.007,29.1519,0.369214,0.214152,0.0380007,127.035,-0.476531,48.7186,7.2486,0.0115104,0.807047,2
0.0485995,0.6625,0.0944444,0.637634,0.619549,0.597504,0.0807865,0.0764468,0.22327,99.2349,62.4407,35.2964,56.7151,43.0405,33.5125,0.701082,1.6983,2.45179,55.6283,7.90872,23.4752,15.1212,5.54931,13.9092,0.431505,1.08307,0.712646,55.7031,0.0958333,-4.26031,48.962,0.512437,0.84382,0.66074,-4.29658,0.106524,166.62,0.305556,130.636,22.1734,0.12085,30.3261,6.03046,240.38,20.1032,0.244155,0.244454,0.0613695,83.0418,1.82486,79.9905,21.1006,0.054184,0.488834,2
0.275723,1.0,0.611111,0.578374,0.543247,0.933539,0.432295,0.0519467,0.548816,68.6189,71.0734,68.9139,54.6589,53.9133,53.8464,0.579259,0.592336,0.684795,53.5519,-1.17683,1.0041,21.4874,6.00502,8.78645,-0.189477,-0.62236,-0.317949,72.0045,0.5875,0.0705966,8.69004,0.308674,13.6477,0.839183,3.85161,0.48417,63.2983,0.113889,80.8921,18.9023,0.413145,20.7536,9.08892,196.037,26.9281,0.80758,0.459507,0.0812925,73.0125,-2.22416,12.8096,15.7288,0.172101,0.209894,0
0.12278,1.0,0.278125,0.553814,0.845082,0.894449,0.187366,0.0741291,0.558544,82.2494,87.2161,87.5199,58.2957,54.2975,52.4436,0.90905,0.793054,0.657727,61.0347,-2.03687,-0.9234,17.44,3.43921,8.36276,0.0178593,-0.298826,0.355205,86.3368,1.0,-5.01035,35.1146,0.195362,21.1449,0.364878,5.22406,1.87933,82.3516,0.365625,206.03,46.0645,-0.321945,43.269,7.09678,66.8642,50.6371,0.642385,0.362061,0.0472717,141.745,2.76654,17.0175,9.77482,0.0271875,0.235321,2
0.759746,0.90625,1.0,0.588384,0.519901,0.853622,0.98841,0.0164357,0.16166,98.4732,154.496,69.0787,15.6604,12.2417,18.166,2.11396,0.0866949,2.58495,78.0783,-23.8159,27.5144,2.90342,4.0477,5.06468,-0.258172,2.057,-1.60921,84.1422,0.0375,2.84281,19.215,0.10888,13.0508,0.432907,-1.5714,1.00974,93.3888,0.166667,109.817,4.70071,2.69985,49.0774,1.9583,102.148,3.60015,0.234282,0.497539,0.0215705,178.074,1.55977,54.1871,13.7499,0.76371,0.228185,1
0.00105903,0.0270833,0.0527778,0.573179,0.5648,0.0230098,0.0447506,0.234973,0.259109,102.0,97.1585,89.7432,30.7794,29.9465,30.1861,1.3335,1.02957,1.11338,67.4254,0.260333,3.68199,8.22767,1.75307,1.85189,0.497335,-0.434213,0.391035,74.0806,0.583333,4.83148,45.5765,0.119434,12.3091,0.42917,0.48815,-0.486209,110.108,0.919444,71.4155,4.99682,3.06944,18.7383,6.25212,4.40319,22.1838,0.300228,0.164612,0.1,151.52,-0.255039,46.6919,11.6182,0.0852604,0.705243,2
0.218125,1.0,0.53125,0.615617,0.152666,1.05696,0.388897,0.0314125,0.589412,136.483,129.894,117.212,68.5772,71.3914,78.9927,0.467801,0.540389,0.627824,73.542,-0.0901697,7.2196,17.2451,2.74072,7.25004,0.0518561,-0.899144,0.642281,67.6424,1.0,-0.288766,16.227,0.131576,12.4252,0.395883,-0.0894495,-0.449491,57.3984,0.958333,72.1329,33.6885,-0.38728,29.6314,0.282864,138.547,14.2209,0.100892,0.318452,0.0546664,220.743,-0.183449,18.4047,10.0645,0.231192,0.350481,1
0.03239,0.129167,0.355556,0.848265,0.346835,0.0999564,0.334883,0.0532428,0.294733,125.482,104.994,86.6964,85.7455,70.5943,60.4338,-0.0934196,0.0301963,0.149861,64.0117,1.57751,8.83053,25.8553,4.91763,6.84473,-0.65757,-0.291424,-0.696835,47.9726,0.110417,0.104943,23.1711,0.530384,0.518608,0.404258,-2.63469,0.532729,115.27,0.411111,160.25,71.945,-0.959051,84.6851,10.2117,80.7404,67.3333,0.796221,0.143989,0.105359,202.357,3.30243,25.0313,15.4524,0.109896,0.950633,0
0.0918171,0.51875,0.438889,0.377936,0.479,0.429198,0.343531,0.0401487,0.596716,76.4261,76.4261,76.4261,57.0355,57.0355,57.0355,1.29748,1.29748,1.29748,57.6045,7.53106e-15,-4.96822e-16,17.1566,1.8826e-14,3.28413e-15,0.80475,2.12759,-6.45878,46.2326,0.39375,-2.90189,20.6586,0.176341,6.94695,0.254378,11.3897,-0.706736,106.095,0.85,111.896,32.0718,-0.0538221,14.0329,6.92625,74.0201,17.2779,0.297477,0.360221,0.0432484,101.09,0.909092,31.8103,16.4501,0.0426107,0.182624,0
0.269161,0.4875,1.0,0.197469,0.339733,0.438182,0.869814,0.0260584,0.447875,119.517,122.704,81.2829,37.0676,36.5681,38.3118,0.800467,0.808381,1.31475,73.1095,-6.36584,16.876,8.86206,6.67105,10.204,0.106468,-0.457195,1.09034,90.161,0.420833,0.0336697,46.7468,0.492583,13.0374,0.104866,5.35468,-0.166807,226.734,0.16875,223.265,54.9142,0.587529,32.6836,5.61461,167.217,41.1517,0.674596,0.268841,0.0327781,150.009,3.41145,69.8412,20.2307,0.0559086,0.300799,1
