Elevation,Aspect,Slope,Hillshade_Morning,Hillshade_Afternoon,Hillshade_Evening,Distance_To_River,Distance_From_Road,Distance_From_Pollutant,Sector,Soil,Plant_species
2308,341,26,156,191,167,297,1159,870,Sector_3,Soil_8,0
3215,86,3,224,234,145,150,4639,1677,Sector_0,Soil_20,2
2337,4,8,210,225,153,150,424,589,Sector_3,Soil_8,3
2360,311,25,145,214,205,297,926,170,Sector_3,Soil_8,3
2974,8,12,206,216,147,285,1484,721,Sector_2,Soil_29,2
2367,341,22,168,201,169,256,1134,1350,Sector_3,Soil_8,0
2380,300,24,147,222,212,134,1383,825,Sector_3,Soil_8,3
3391,50,11,225,216,124,120,2781,2190,Sector_0,Soil_36,1
2632,310,33,113,196,213,95,1655,1265,Sector_2,Soil_11,0
1990,255,17,177,248,208,242,390,832,Sector_3,Soil_0,0
2932,25,10,215,219,140,485,5509,2034,Sector_0,Soil_26,4
3469,69,6,226,228,136,882,1001,351,Sector_1,Soil_37,1
3146,197,6,219,245,162,42,2173,698,Sector_0,Soil_20,2
2363,45,10,223,218,129,30,582,849,Sector_3,Soil_13,3
3017,66,21,235,193,79,430,2954,134,Sector_0,Soil_26,2
3750,347,16,188,212,162,1006,5132,3255,Sector_2,Soil_37,1
1918,321,28,139,201,196,42,85,402,Sector_3,Soil_8,3
2982,65,13,232,214,112,612,4514,3114,Sector_0,Soil_26,4
2457,212,23,192,254,188,30,741,976,Sector_2,Soil_3,3
1946,83,12,237,219,112,150,180,1019,Sector_3,Soil_2,3
2814,10,8,211,224,149,30,2620,1934,Sector_0,Soil_20,4
3100,129,3,225,237,147,30,671,1873,Sector_0,Soil_20,2
1970,340,35,127,168,167,285,256,902,Sector_3,Soil_4,0
3181,203,6,217,246,164,234,2851,1123,Sector_2,Soil_20,4
2568,3,9,209,224,153,190,979,2192,Sector_2,Soil_9,4
2782,354,6,209,229,158,553,2825,1492,Sector_2,Soil_29,4
2916,315,13,185,229,184,150,6279,4530,Sector_0,Soil_21,4
3182,285,18,167,237,209,361,3346,1740,Sector_2,Soil_28,4
2530,312,27,138,209,206,127,708,541,Sector_2,Soil_8,0
2469,112,19,249,216,87,30,836,892,Sector_2,Soil_3,3
2732,165,23,233,240,125,180,2080,2337,Sector_2,Soil_3,3
2077,322,22,158,212,191,30,671,850,Sector_3,Soil_12,0
3462,58,18,230,199,96,60,1829,1921,Sector_1,Soil_36,1
2576,169,24,230,242,129,0,1776,1292,Sector_2,Soil_14,3
3002,158,15,235,241,133,95,2852,1577,Sector_2,Soil_30,2
2955,18,11,211,216,141,834,3093,892,Sector_2,Soil_8,4
3410,183,14,223,249,155,295,1867,3654,Sector_1,Soil_29,2
3388,215,17,201,254,185,511,3596,1602,Sector_2,Soil_35,2
2731,315,42,79,168,209,560,912,1415,Sector_2,Soil_25,4
2975,345,14,191,217,164,255,6206,3157,Sector_0,Soil_17,4
2099,28,34,186,145,74,277,474,1020,Sector_3,Soil_0,0
2882,196,20,211,252,167,255,3006,1326,Sector_2,Soil_3,4
2470,203,6,217,246,164,433,864,1291,Sector_3,Soil_5,0
3023,199,21,208,253,171,443,2751,1667,Sector_2,Soil_11,2
3146,26,19,208,195,117,201,3909,2080,Sector_2,Soil_21,2
3050,45,9,223,220,132,323,6653,2802,Sector_0,Soil_26,4
2562,155,17,238,239,125,134,1165,1813,Sector_2,Soil_3,3
3343,326,12,191,227,175,474,3341,3370,Sector_2,Soil_29,1
3313,128,6,230,236,140,190,3845,2509,Sector_0,Soil_35,1
3139,117,16,246,223,101,247,840,1798,Sector_0,Soil_26,2
3462,113,10,237,230,123,841,2336,1463,Sector_0,Soil_32,1
2383,251,14,187,249,199,300,1082,313,Sector_3,Soil_8,0
2390,36,10,219,217,132,510,577,1008,Sector_3,Soil_2,0
2749,14,4,216,231,153,384,1624,2010,Sector_0,Soil_10,4
2509,246,26,156,249,222,360,780,1487,Sector_2,Soil_8,3
3361,337,20,172,208,173,514,2285,920,Sector_2,Soil_36,1
2103,316,28,134,203,203,124,379,552,Sector_3,Soil_8,0
3290,302,9,196,236,180,95,4873,3105,Sector_2,Soil_35,1
3230,299,15,178,233,195,335,1343,2195,Sector_0,Soil_26,2
3319,295,12,187,237,190,150,3480,1892,Sector_2,Soil_29,2
2824,75,14,236,213,104,108,2356,2971,Sector_0,Soil_26,4
3438,40,12,221,213,124,722,3471,1500,Sector_2,Soil_36,1
2882,318,11,190,230,179,0,5151,1172,Sector_0,Soil_17,4
3105,41,4,220,230,146,30,2242,2255,Sector_0,Soil_20,2
3140,324,2,214,236,160,30,2148,2594,Sector_0,Soil_26,1
2899,11,32,170,159,111,234,234,1718,Sector_0,Soil_27,2
2944,32,15,216,206,123,108,3918,1842,Sector_0,Soil_10,4
3292,77,16,239,208,95,234,3136,1932,Sector_2,Soil_35,1
1976,327,38,102,167,189,134,124,120,Sector_3,Soil_8,3
2620,156,9,231,241,142,67,1506,351,Sector_2,Soil_9,3
2101,354,37,133,148,135,309,466,1026,Sector_3,Soil_4,0
3018,243,12,197,249,190,351,1148,1712,Sector_2,Soil_29,4
2898,66,11,231,217,117,408,1087,1277,Sector_2,Soil_30,2
2865,28,9,217,220,139,342,3009,2388,Sector_0,Soil_26,4
3118,38,22,213,185,97,256,1031,1436,Sector_2,Soil_11,2
2168,20,34,175,149,90,153,700,618,Sector_3,Soil_8,0
3125,25,13,213,212,133,481,1588,2707,Sector_2,Soil_28,2
2257,43,19,220,195,103,379,360,1622,Sector_3,Soil_8,3
2841,353,22,178,197,154,437,2713,1944,Sector_0,Soil_26,4
2352,42,26,214,174,81,120,1273,1127,Sector_3,Soil_9,0
2579,45,11,223,216,126,330,633,1379,Sector_2,Soil_1,0
1925,18,23,196,186,119,124,182,685,Sector_3,Soil_0,0
3409,175,15,227,247,147,60,2789,693,Sector_2,Soil_32,1
2325,324,20,166,214,186,228,1048,886,Sector_3,Soil_8,0
3375,290,17,172,236,203,474,1406,992,Sector_2,Soil_36,1
2311,336,25,156,197,175,85,1233,365,Sector_3,Soil_8,3
2332,110,15,244,222,103,0,300,324,Sector_2,Soil_2,0
2226,108,22,251,209,75,67,1487,458,Sector_3,Soil_1,0
2759,317,26,142,206,200,192,1740,1529,Sector_2,Soil_11,0
3123,0,9,206,222,154,95,3212,3154,Sector_0,Soil_21,2
2998,102,18,247,214,89,127,3912,2346,Sector_0,Soil_27,4
2605,159,11,231,242,141,272,1392,1873,Sector_2,Soil_3,3
2292,314,25,145,211,202,300,1123,888,Sector_3,Soil_8,0
3388,127,19,248,224,97,702,731,371,Sector_1,Soil_35,1
2975,328,3,212,236,162,0,4442,2105,Sector_0,Soil_16,4
2286,274,22,154,239,221,134,1470,674,Sector_3,Soil_1,0
3137,121,13,241,229,116,150,2467,1655,Sector_2,Soil_29,4
2369,351,18,186,207,158,182,1236,1087,Sector_3,Soil_9,0
2840,18,6,216,227,149,323,1914,1505,Sector_0,Soil_10,4
2591,53,14,227,210,113,234,1409,1725,Sector_2,Soil_8,0
2995,74,9,231,223,125,134,5179,3984,Sector_0,Soil_17,2
2427,164,18,233,243,133,30,684,1062,Sector_2,Soil_3,3
2037,315,26,143,209,202,242,300,175,Sector_3,Soil_4,3
2899,13,8,212,223,148,67,4008,3931,Sector_0,Soil_26,4
3325,46,17,223,201,107,514,3507,1879,Sector_2,Soil_36,1
2577,21,4,217,231,151,0,819,1320,Sector_2,Soil_9,0
2930,270,2,213,240,165,300,1919,1034,Sector_2,Soil_20,2
2374,114,20,250,215,83,67,612,1316,Sector_3,Soil_0,0
2853,4,13,203,215,149,242,1425,2888,Sector_2,Soil_9,2
2385,250,17,182,250,204,0,607,1001,Sector_2,Soil_3,3
2998,318,14,184,227,183,618,1905,930,Sector_2,Soil_28,2
2407,273,29,130,233,234,295,1215,900,Sector_3,Soil_8,3
3257,98,27,252,190,48,30,2208,716,Sector_2,Soil_36,1
3375,255,5,207,243,174,342,3583,2230,Sector_2,Soil_35,1
3169,131,15,243,231,114,85,2445,2912,Sector_0,Soil_26,1
3398,206,8,215,248,168,785,1484,1711,Sector_2,Soil_35,1
3284,71,17,237,204,93,404,771,1052,Sector_2,Soil_36,1
3288,22,19,204,195,121,390,3747,1560,Sector_0,Soil_36,2
3566,7,16,199,206,142,524,2885,1575,Sector_0,Soil_37,2
3017,353,23,174,193,152,780,834,1319,Sector_2,Soil_21,2
3397,310,13,185,231,186,124,2556,2594,Sector_2,Soil_35,1
2939,277,6,205,241,175,376,5252,2125,Sector_0,Soil_26,4
3163,321,16,177,222,185,42,4106,1209,Sector_2,Soil_19,2
2843,105,11,239,226,116,67,1839,2514,Sector_0,Soil_26,4
3358,216,6,214,246,169,134,2588,631,Sector_2,Soil_35,1
3320,5,15,200,210,145,404,1505,2707,Sector_0,Soil_20,2
2227,307,31,121,205,216,175,815,1082,Sector_3,Soil_8,0
3132,43,29,211,163,69,330,3364,1690,Sector_2,Soil_28,2
3301,349,5,211,232,159,774,3607,2139,Sector_2,Soil_29,2
2419,282,17,172,239,206,382,1020,124,Sector_3,Soil_8,0
3257,267,13,186,245,197,731,6145,2491,Sector_0,Soil_26,4
3384,88,15,241,214,99,524,1448,914,Sector_2,Soil_36,1
3322,98,11,238,224,115,127,2347,2689,Sector_0,Soil_36,1
3069,249,3,212,242,167,42,5528,2255,Sector_0,Soil_20,4
2968,217,14,204,253,182,277,5393,3312,Sector_0,Soil_26,4
2130,323,35,111,180,196,95,543,811,Sector_3,Soil_8,0
2969,309,16,173,227,194,60,2029,1052,Sector_0,Soil_26,2
2125,34,29,202,165,82,190,571,540,Sector_3,Soil_8,3
2533,180,17,224,248,151,95,1865,1710,Sector_2,Soil_1,3
2430,43,28,212,166,72,108,1148,934,Sector_2,Soil_8,0
2857,83,4,225,233,143,0,4034,6138,Sector_0,Soil_17,4
3116,106,13,242,224,109,242,150,3703,Sector_1,Soil_19,4
2291,38,32,202,153,65,134,595,940,Sector_3,Soil_8,0
2382,111,21,250,213,81,376,459,1082,Sector_3,Soil_2,3
2193,334,30,140,186,177,212,350,162,Sector_3,Soil_8,3
2357,6,15,201,210,145,150,1597,849,Sector_3,Soil_1,3
2606,145,26,245,226,92,607,598,1353,Sector_2,Soil_3,3
2378,327,16,180,220,180,170,1500,395,Sector_3,Soil_8,0
2350,321,23,156,211,192,240,966,966,Sector_3,Soil_8,0
3385,28,7,218,225,143,162,3378,2271,Sector_0,Soil_32,1
3355,102,21,250,207,75,592,1712,1711,Sector_0,Soil_36,1
2827,36,8,220,221,137,30,466,391,Sector_2,Soil_20,4
3351,48,11,224,215,123,469,3140,3349,Sector_2,Soil_29,1
2601,94,6,230,231,134,0,1604,1050,Sector_2,Soil_1,3
3442,92,19,246,207,82,228,1549,1587,Sector_1,Soil_36,1
2100,157,18,237,240,126,95,698,900,Sector_3,Soil_1,3
3013,285,31,119,221,234,601,2167,1455,Sector_2,Soil_11,4
2682,68,23,236,189,73,175,973,1921,Sector_0,Soil_10,4
2309,250,14,189,249,198,201,1142,858,Sector_3,Soil_5,3
2516,344,11,198,223,164,0,1572,1626,Sector_2,Soil_17,0
3337,339,13,191,221,168,495,3394,3404,Sector_2,Soil_37,1
3263,143,19,243,233,110,180,2873,3032,Sector_2,Soil_36,2
3001,266,14,183,245,201,85,2794,832,Sector_2,Soil_30,4
3265,281,14,180,240,200,331,297,1530,Sector_1,Soil_20,2
3004,158,18,237,240,126,408,6472,3945,Sector_0,Soil_27,4
2262,135,3,224,238,149,402,1379,847,Sector_3,Soil_8,3
3029,133,10,236,235,129,30,1470,983,Sector_2,Soil_29,4
2740,66,10,230,219,121,242,1053,1981,Sector_2,Soil_9,4
3280,359,10,205,222,154,30,3271,2513,Sector_2,Soil_20,1
3247,131,29,251,211,66,404,3624,466,Sector_2,Soil_36,2
3137,150,4,225,239,150,295,5368,604,Sector_0,Soil_26,2
2536,52,23,225,184,81,30,760,918,Sector_2,Soil_17,0
2975,121,20,250,219,88,313,2285,1889,Sector_2,Soil_21,4
3032,99,7,233,230,130,42,2512,3952,Sector_0,Soil_20,2
3441,149,23,243,232,105,201,4089,3905,Sector_2,Soil_30,1
3131,280,8,198,241,183,342,1939,2507,Sector_2,Soil_29,2
2527,57,15,229,208,109,323,446,1148,Sector_2,Soil_1,0
3321,342,15,187,215,167,541,3529,3492,Sector_2,Soil_37,1
2472,219,36,157,246,203,67,1749,362,Sector_2,Soil_3,3
3228,21,22,198,186,116,162,4231,1426,Sector_0,Soil_35,1
2440,189,12,220,249,160,120,510,1421,Sector_3,Soil_5,0
3374,326,2,215,237,160,182,4373,3994,Sector_0,Soil_37,1
2379,122,34,253,191,34,212,1176,785,Sector_3,Soil_2,3
3247,200,13,214,251,169,162,2927,153,Sector_2,Soil_19,1
2652,159,13,233,242,137,190,2175,2509,Sector_2,Soil_3,3
2996,219,16,199,254,187,324,2271,1208,Sector_2,Soil_28,4
2632,4,23,183,189,136,108,1805,2760,Sector_2,Soil_8,0
3217,83,20,244,200,77,67,1826,277,Sector_2,Soil_32,1
2543,254,27,147,245,228,95,957,1693,Sector_2,Soil_30,0
2278,36,25,209,177,91,67,1448,968,Sector_3,Soil_8,3
2932,110,8,234,231,129,0,4577,3711,Sector_0,Soil_20,2
3244,41,26,213,175,83,108,4179,2577,Sector_0,Soil_36,1
2442,42,23,216,182,90,0,765,1425,Sector_2,Soil_8,0
3093,25,11,215,217,138,150,3625,1448,Sector_0,Soil_26,2
2965,37,14,219,208,122,182,5093,2922,Sector_0,Soil_26,2
2701,50,8,224,223,133,351,1747,5942,Sector_0,Soil_10,4
2995,24,12,213,214,135,255,3884,1377,Sector_0,Soil_26,4
3019,326,2,215,237,160,30,4137,1073,Sector_0,Soil_16,4
2209,68,18,236,200,89,192,382,458,Sector_3,Soil_1,0
3262,337,14,189,220,170,30,3126,2568,Sector_2,Soil_20,1
2406,54,20,227,194,92,323,560,1321,Sector_3,Soil_8,0
2121,304,35,103,197,222,150,470,618,Sector_3,Soil_8,3
2278,226,22,183,254,201,30,1481,638,Sector_3,Soil_14,0
3300,54,15,227,206,108,376,3289,1895,Sector_2,Soil_36,1
3403,30,12,216,214,132,497,765,751,Sector_1,Soil_37,1
2514,206,35,176,246,180,134,124,764,Sector_2,Soil_2,4
2496,348,21,177,202,159,272,750,457,Sector_3,Soil_8,0
2863,76,15,237,212,102,408,424,1756,Sector_0,Soil_26,4
2437,188,15,220,250,159,342,815,1158,Sector_2,Soil_1,3
2731,328,27,146,198,186,90,1206,511,Sector_2,Soil_30,4
2366,6,14,201,212,146,228,1342,366,Sector_3,Soil_5,3
3116,53,7,224,224,134,180,2465,2282,Sector_2,Soil_29,2
3281,56,14,228,209,111,30,2897,1831,Sector_2,Soil_35,1
2824,107,11,239,226,116,201,793,582,Sector_0,Soil_27,4
2577,41,15,221,205,116,60,938,1040,Sector_2,Soil_11,0
2896,335,7,205,231,165,0,3059,2130,Sector_2,Soil_19,2
2165,328,27,144,197,186,150,1041,722,Sector_3,Soil_8,0
3173,346,2,215,235,158,371,5230,2535,Sector_0,Soil_26,4
3344,104,15,244,220,102,360,976,3666,Sector_1,Soil_29,2
3250,329,18,175,216,180,390,3909,1575,Sector_2,Soil_19,2
2881,16,7,214,226,148,85,1825,1084,Sector_2,Soil_29,4
2472,89,23,247,196,65,175,847,713,Sector_3,Soil_0,3
2980,306,6,202,236,174,966,1075,2089,Sector_2,Soil_29,4
3121,19,9,214,220,143,342,4173,1972,Sector_0,Soil_26,4
2529,143,16,241,235,119,90,1074,1742,Sector_2,Soil_3,3
3267,306,4,208,237,168,781,2164,706,Sector_2,Soil_19,2
2497,19,25,194,180,113,90,1634,362,Sector_2,Soil_8,3
2088,209,21,199,254,182,108,470,711,Sector_3,Soil_5,3
2550,317,13,186,229,182,60,1138,633,Sector_2,Soil_30,0
2401,306,15,178,231,192,268,1490,518,Sector_3,Soil_8,0
3201,53,14,227,209,112,362,1033,1384,Sector_1,Soil_29,2
3100,84,7,231,227,129,382,3952,4770,Sector_0,Soil_26,2
2336,129,12,240,232,120,67,1200,90,Sector_3,Soil_5,3
2716,297,4,208,238,169,330,1012,1771,Sector_0,Soil_10,4
2728,120,11,240,230,119,300,2034,2609,Sector_2,Soil_3,0
3034,36,17,217,200,113,458,2163,2378,Sector_2,Soil_21,2
2862,136,21,247,226,97,175,4701,4745,Sector_0,Soil_27,4
2772,77,22,241,195,74,255,1110,446,Sector_2,Soil_21,0
2561,72,17,237,206,95,201,1116,780,Sector_2,Soil_9,3
2541,135,29,250,214,70,540,514,1273,Sector_2,Soil_3,3
2800,140,12,238,236,126,190,997,853,Sector_2,Soil_1,3
2012,89,13,240,218,106,270,395,90,Sector_3,Soil_4,3
2599,92,25,249,194,59,60,1348,849,Sector_2,Soil_21,4
3252,167,24,232,241,126,400,1380,1674,Sector_1,Soil_30,2
2607,168,18,231,244,137,331,967,1060,Sector_2,Soil_1,3
2978,33,18,214,199,115,408,4616,4093,Sector_0,Soil_26,2
2554,141,20,245,230,104,95,1235,1245,Sector_2,Soil_3,3
2340,6,23,185,188,134,285,1040,1396,Sector_3,Soil_8,3
3397,82,44,234,124,0,323,2496,553,Sector_2,Soil_36,1
2519,190,18,218,251,161,162,2131,335,Sector_2,Soil_3,3
2622,17,14,208,210,137,571,658,979,Sector_3,Soil_9,3
3150,338,26,155,194,172,743,1182,1681,Sector_2,Soil_21,2
3415,324,15,182,223,181,492,1727,607,Sector_2,Soil_36,1
2545,151,13,237,239,130,42,1559,1500,Sector_2,Soil_3,3
3336,17,16,205,205,133,391,3270,2349,Sector_2,Soil_29,1
2747,35,13,218,211,126,162,2131,751,Sector_2,Soil_8,4
3268,110,10,237,230,123,30,3939,2084,Sector_0,Soil_35,1
2928,68,15,234,209,102,330,391,860,Sector_0,Soil_26,2
3185,201,14,213,252,170,212,2547,1032,Sector_2,Soil_29,4
3324,305,21,159,224,204,426,569,607,Sector_1,Soil_30,2
3192,26,24,200,179,105,600,735,1940,Sector_0,Soil_27,1
3301,209,8,214,248,169,162,3766,1727,Sector_2,Soil_29,2
3215,41,10,221,219,132,408,5622,2454,Sector_0,Soil_26,4
3210,153,2,222,239,153,85,2876,659,Sector_0,Soil_20,2
3240,222,12,205,251,181,170,3824,2697,Sector_0,Soil_20,1
3334,96,9,234,228,125,323,2579,1519,Sector_2,Soil_35,1
3382,352,15,193,213,158,0,1724,1905,Sector_1,Soil_35,1
3484,12,15,203,208,140,631,4272,3449,Sector_2,Soil_36,1
3264,39,23,214,183,94,841,1832,2750,Sector_2,Soil_30,2
3182,156,8,229,241,145,30,3480,3154,Sector_0,Soil_19,2
2413,75,27,241,178,50,124,725,741,Sector_3,Soil_0,3
3255,333,12,193,225,171,162,4372,2037,Sector_2,Soil_19,2
3216,25,13,213,210,132,60,1548,872,Sector_2,Soil_36,1
3347,91,19,245,207,84,170,2329,2671,Sector_0,Soil_36,1
2404,230,7,209,247,175,30,720,1034,Sector_2,Soil_1,3
3421,302,12,186,234,188,391,4960,4087,Sector_2,Soil_35,1
3446,310,8,199,235,175,845,1544,1557,Sector_2,Soil_35,1
2645,71,13,234,214,110,127,2206,2162,Sector_2,Soil_8,0
3432,54,24,226,182,76,67,3376,2584,Sector_0,Soil_34,1
3391,319,15,179,225,185,872,1127,1972,Sector_2,Soil_35,1
3322,341,17,183,213,168,551,3623,3523,Sector_2,Soil_37,1
3322,354,19,185,204,154,600,3141,3483,Sector_2,Soil_28,4
3322,334,17,178,215,175,67,2352,437,Sector_2,Soil_36,1
3451,168,18,231,244,137,920,3460,1061,Sector_2,Soil_33,1
2890,128,22,250,220,87,90,3158,1320,Sector_2,Soil_11,4
3380,283,17,172,239,206,912,4591,2782,Sector_2,Soil_35,1
3249,5,10,208,221,150,270,85,1001,Sector_2,Soil_29,4
3026,4,18,194,202,143,150,120,1201,Sector_2,Soil_21,4
3381,16,4,216,231,152,108,2571,2405,Sector_0,Soil_36,1
2295,249,23,165,249,218,234,1680,859,Sector_3,Soil_1,0
2261,177,23,224,246,141,30,1591,932,Sector_3,Soil_1,0
3167,97,14,242,218,102,837,2321,2964,Sector_2,Soil_30,2
3416,108,17,247,218,93,134,2701,1964,Sector_2,Soil_37,1
3018,329,13,189,225,175,42,531,1657,Sector_2,Soil_20,2
2581,138,14,240,235,121,127,1812,1800,Sector_2,Soil_3,3
3206,99,22,250,204,72,190,911,824,Sector_2,Soil_36,1
2583,108,6,231,233,136,390,685,1337,Sector_2,Soil_1,0
2434,27,6,217,226,145,30,1825,283,Sector_2,Soil_8,3
2368,82,20,243,201,79,426,492,895,Sector_3,Soil_2,0
3080,236,7,208,247,176,335,5758,1915,Sector_0,Soil_19,4
3190,37,16,218,204,118,0,1963,4430,Sector_1,Soil_20,2
3167,354,9,206,225,158,218,1518,849,Sector_1,Soil_29,4
3210,60,5,224,229,140,488,5568,2122,Sector_0,Soil_19,2
2313,87,24,247,192,59,234,1537,108,Sector_3,Soil_8,3
3472,11,15,202,208,140,543,4179,3401,Sector_2,Soil_36,1
2909,189,10,221,248,160,30,4220,4297,Sector_0,Soil_26,4
2331,321,9,197,231,174,218,1168,968,Sector_3,Soil_9,0
3386,112,18,248,219,93,664,713,408,Sector_1,Soil_35,1
2971,243,12,196,250,190,42,2658,192,Sector_2,Soil_29,4
2673,171,7,226,244,151,120,1907,1866,Sector_2,Soil_3,0
3377,66,39,224,132,3,108,1978,937,Sector_2,Soil_36,1
2471,319,10,193,231,177,306,685,1248,Sector_3,Soil_8,0
3221,27,9,217,221,140,30,2340,2634,Sector_0,Soil_35,2
2726,146,7,230,239,142,150,2349,1784,Sector_0,Soil_10,4
2856,326,12,191,227,175,60,1332,1549,Sector_0,Soil_26,4
3341,79,12,236,217,110,607,1657,2105,Sector_0,Soil_36,2
2472,28,23,204,184,107,60,685,1565,Sector_2,Soil_28,4
2968,3,10,207,221,152,42,3279,6408,Sector_0,Soil_13,2
3023,156,5,225,240,150,42,3238,247,Sector_0,Soil_26,2
2362,344,12,195,220,164,0,362,912,Sector_3,Soil_8,3
2394,36,15,218,205,119,90,258,418,Sector_2,Soil_8,0
2982,355,11,202,221,156,150,2452,2066,Sector_2,Soil_19,2
2991,290,6,204,239,174,277,2817,624,Sector_2,Soil_29,4
2446,76,21,241,196,75,469,726,1401,Sector_3,Soil_8,0
3502,100,10,237,227,120,420,1296,830,Sector_1,Soil_37,1
3492,352,13,196,217,158,467,1302,1707,Sector_1,Soil_37,1
2628,86,22,246,197,70,234,2098,726,Sector_2,Soil_3,0
2383,119,16,246,224,101,408,993,983,Sector_3,Soil_1,3
2196,337,28,149,190,174,153,768,384,Sector_3,Soil_8,3
3142,333,8,201,229,168,417,1073,914,Sector_1,Soil_20,2
3703,356,12,201,219,155,1061,5059,3266,Sector_2,Soil_37,1
3308,282,7,201,241,179,277,3629,1914,Sector_2,Soil_29,2
2766,318,23,155,213,195,300,1376,1318,Sector_2,Soil_21,4
2938,326,20,168,214,184,127,1413,1651,Sector_2,Soil_30,4
3209,339,7,204,230,164,162,5139,895,Sector_0,Soil_19,2
2453,245,20,175,251,210,190,216,437,Sector_3,Soil_5,3
2080,55,15,228,207,109,180,725,870,Sector_3,Soil_1,3
2393,51,20,225,191,91,42,642,624,Sector_2,Soil_8,0
2144,49,33,214,152,49,30,607,878,Sector_3,Soil_8,0
2516,136,29,250,215,72,350,366,1130,Sector_2,Soil_3,3
2284,285,20,161,235,212,90,960,1230,Sector_3,Soil_8,0
2496,72,9,231,223,125,30,467,1443,Sector_3,Soil_5,0
2378,342,14,190,218,166,134,939,780,Sector_3,Soil_8,0
2946,76,16,238,209,97,0,1442,1385,Sector_2,Soil_30,4
2723,350,19,181,204,158,319,2097,2253,Sector_2,Soil_8,0
2020,341,11,197,224,165,408,524,446,Sector_3,Soil_4,3
2784,35,15,217,206,121,323,335,2563,Sector_0,Soil_21,4
3391,223,10,207,250,178,1131,3055,1332,Sector_2,Soil_35,1
2484,328,25,153,203,186,360,726,459,Sector_3,Soil_8,0
3229,186,9,222,247,158,228,3202,1180,Sector_2,Soil_29,4
